Task ID,O*NET-SOC Code,Occupation,Task,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill,Skill ID,Industry Group,Worker Rating Count,Worker Automation Desire,Worker Time Rating,Worker Core Skill,Worker Job Security,Worker Enjoyment,Worker Physical Req,Worker Interpersonal Req,Worker Uncertainty Req,Worker Domain Req,Worker Agency Req,Worker Auto Reason Free Time,Worker Auto Reason Repetitive,Worker Auto Reason Human Error,Worker Auto Reason Stress,Worker Auto Reason Difficulty,Worker Auto Reason Scale,Worker Agency Reason Physical,Worker Agency Reason Control,Worker Agency Reason Domain,Worker Agency Reason Empathy,Worker Agency Reason Quality,Worker Agency Reason Dynamic,Worker Agency Reason Ethical,Expert Rating Count,Expert Automation Capacity,Expert Physical Req,Expert Uncertainty Req,Expert Domain Req,Expert Interpersonal Req,Expert Agency Req
21,11-3012.00,Administrative Services Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,5.0,5.0,3.71,77.98,126030.0,254140.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Kinh doanh, tài chính và quản trị tổ chức",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20,11-3012.00,Administrative Services Managers,Set goals and deadlines for the department.,Core,5.0,5.0,3.7,92.79,126030.0,254140.0,['Thinking Creatively'],['4.A.2.b.2'],"Kinh doanh, tài chính và quản trị tổ chức",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
24,11-3012.00,Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,5.0,5.0,4.06,66.15,126030.0,254140.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Kinh doanh, tài chính và quản trị tổ chức",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21319,11-3031.00,Financial Managers,Oversee the flow of cash or financial instruments.,Core,5.0,5.0,4.2,72.26,180470.0,818620.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],"Kinh doanh, tài chính và quản trị tổ chức",5,2.8,2.6,3.8,3.6,3.6,2.6,3.2,2.8,3.4,3.0,40.0,20.0,40.0,0.0,20.0,40.0,0.0,40.0,20.0,20.0,60.0,40.0,40.0,2,3.0,1.0,3.5,2.5,1.0,2.5
21315,11-3031.00,Financial Managers,Evaluate data pertaining to costs to plan budgets.,Core,3.0,3.0,3.61,70.1,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Kinh doanh, tài chính và quản trị tổ chức",6,2.6666666666666665,2.1666666666666665,3.0,3.1666666666666665,2.6666666666666665,2.0,3.0,3.1666666666666665,3.1666666666666665,3.1666666666666665,33.33333333333333,16.666666666666664,33.33333333333333,16.666666666666664,0.0,50.0,16.666666666666664,83.33333333333334,50.0,50.0,33.33333333333333,33.33333333333333,16.666666666666664,2,4.0,1.0,3.5,2.0,1.5,2.0
21321,11-3031.00,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,5.0,5.0,4.14,43.38,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Kinh doanh, tài chính và quản trị tổ chức",7,2.5714285714285716,2.857142857142857,3.5714285714285716,3.2857142857142856,4.0,2.4285714285714284,3.142857142857143,3.142857142857143,3.7142857142857144,3.142857142857143,28.57142857142857,0.0,42.857142857142854,0.0,0.0,14.285714285714285,14.285714285714285,71.42857142857143,42.857142857142854,28.57142857142857,28.57142857142857,42.857142857142854,14.285714285714285,2,4.0,1.0,3.5,3.5,1.5,2.0
21318,11-3031.00,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Supplemental,5.0,5.0,4.09,47.62,180470.0,818620.0,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']","Kinh doanh, tài chính và quản trị tổ chức",3,3.0,1.6666666666666667,3.0,2.6666666666666665,3.0,2.3333333333333335,3.0,4.0,3.3333333333333335,2.3333333333333335,33.33333333333333,0.0,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,2,3.0,2.5,5.0,4.0,2.5,3.0
21320,11-3031.00,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Supplemental,3.0,3.0,4.04,51.99,180470.0,818620.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Kinh doanh, tài chính và quản trị tổ chức",7,2.5714285714285716,2.5714285714285716,3.4285714285714284,3.7142857142857144,3.4285714285714284,2.2857142857142856,3.4285714285714284,3.142857142857143,3.5714285714285716,2.7142857142857144,14.285714285714285,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,28.57142857142857,0.0,28.57142857142857,28.57142857142857,28.57142857142857,0.0,14.285714285714285,14.285714285714285,2,4.0,1.5,1.5,3.5,1.5,2.0
21317,11-3031.00,Financial Managers,"Examine, evaluate, or process loan applications.",Supplemental,5.0,5.0,3.98,44.6,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Kinh doanh, tài chính và quản trị tổ chức",5,2.8,2.4,3.2,2.6,2.6,1.8,3.0,3.2,3.2,2.8,20.0,0.0,0.0,0.0,20.0,20.0,0.0,40.0,20.0,40.0,20.0,0.0,20.0,2,4.0,2.5,2.5,3.0,2.0,2.0
21314,11-3031.00,Financial Managers,Prepare operational or risk reports for management analysis.,Supplemental,3.0,3.0,3.65,43.32,180470.0,818620.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Kinh doanh, tài chính và quản trị tổ chức",8,3.0,2.875,3.5,2.875,3.375,2.0,2.625,3.0,3.5,2.75,25.0,50.0,37.5,12.5,12.5,62.5,12.5,37.5,25.0,12.5,25.0,25.0,12.5,2,4.0,1.0,2.5,3.5,1.5,2.0
