Task ID,O*NET-SOC Code,Occupation,Task,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill,Skill ID,Industry Group,Worker Rating Count,Worker Automation Desire,Worker Time Rating,Worker Core Skill,Worker Job Security,Worker Enjoyment,Worker Physical Req,Worker Interpersonal Req,Worker Uncertainty Req,Worker Domain Req,Worker Agency Req,Worker Auto Reason Free Time,Worker Auto Reason Repetitive,Worker Auto Reason Human Error,Worker Auto Reason Stress,Worker Auto Reason Difficulty,Worker Auto Reason Scale,Worker Agency Reason Physical,Worker Agency Reason Control,Worker Agency Reason Domain,Worker Agency Reason Empathy,Worker Agency Reason Quality,Worker Agency Reason Dynamic,Worker Agency Reason Ethical,Expert Rating Count,Expert Automation Capacity,Expert Physical Req,Expert Uncertainty Req,Expert Domain Req,Expert Interpersonal Req,Expert Agency Req
978,11-3021.00,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,Core,3.0,3.0,4.08,99.97,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.2,2.2,2.6,2.0,2.5,2.1,3.3,2.7,3.4,3.0,40.0,30.0,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,2.5,3.5,4.0,4.0
969,11-3021.00,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,5.0,5.0,4.04,92.97,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.5,2.6,3.7,2.0,3.3,2.1,2.9,2.7,3.0,2.4,50.0,20.0,10.0,20.0,20.0,40.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,2,2.0,1.5,2.0,2.5,2.5,3.5
971,11-3021.00,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,3.0,3.0,3.94,81.61,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.6,2.9,3.3,2.4,3.1,2.2,3.1,3.1,3.7,2.8,60.0,20.0,50.0,20.0,20.0,30.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,2,3.0,1.5,2.5,3.5,1.5,2.5
970,11-3021.00,Computer and Information Systems Managers,Stay abreast of advances in technology.,Core,4.0,4.0,3.88,100.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.3,1.7,2.8,1.7,2.9,1.6,1.9,2.5,2.8,2.3,40.0,30.0,10.0,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.5,1.0,1.0,4.0,1.0,3.5
972,11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,Core,3.0,3.0,3.68,87.19,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']","Công nghệ thông tin, AI và phân tích dữ liệu",10,2.7,2.8,3.9,2.6,3.5,2.8,3.4,3.2,3.5,2.8,30.0,20.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,2,2.5,2.0,2.0,2.5,1.5,3.0
980,11-3021.00,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,Core,5.0,5.0,3.63,95.71,187990.0,645970.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Công nghệ thông tin, AI và phân tích dữ liệu",11,3.1818181818181817,2.3636363636363638,2.909090909090909,2.3636363636363638,3.090909090909091,2.1818181818181817,2.8181818181818183,2.5454545454545454,2.727272727272727,2.5454545454545454,36.36363636363637,27.27272727272727,18.181818181818183,9.090909090909092,0.0,36.36363636363637,0.0,9.090909090909092,9.090909090909092,9.090909090909092,0.0,0.0,0.0,2,3.5,1.0,2.5,3.0,2.5,2.5
979,11-3021.00,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,Core,3.0,3.0,3.59,70.83,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.6,2.9,3.6,2.1,3.2,2.9,3.4,2.9,3.6,3.0,50.0,10.0,30.0,10.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,2.0,3.5,1.5,2.5
974,11-3021.00,Computer and Information Systems Managers,Control operational budget and expenditures.,Core,3.0,3.0,3.53,84.33,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.7,2.8,3.5,2.5,3.7,2.2,3.3,4.1,3.7,3.4,60.0,10.0,60.0,20.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.5,2.5,1.5,3.0
966,11-3021.00,Computer and Information Systems Managers,"Manage backup, security and user help systems.",Supplemental,5.0,5.0,4.19,65.58,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.0,2.9,3.6,2.6,3.4,2.4,2.8,2.9,2.8,2.8,40.0,20.0,30.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.5,1.0,2.0,3.5,2.0,2.5
20171,11-9041.00,Architectural and Engineering Managers,"Direct, review, or approve project design changes.",Core,4.0,4.0,4.0,97.69,175710.0,210340.0,"['Judging the Qualities of Objects, Services, or People', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.a.1', '4.A.4.b.4']","Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20173,11-9041.00,Architectural and Engineering Managers,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,4.0,4.0,3.4,88.56,175710.0,210340.0,"['Judging the Qualities of Objects, Services, or People', 'Analyzing Data or Information']","['4.A.2.a.1', '4.A.2.a.4']","Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20176,11-9041.00,Architectural and Engineering Managers,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,3.0,3.0,3.33,98.69,175710.0,210340.0,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.2.b.1', '4.A.2.b.4']","Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20177,11-9041.00,Architectural and Engineering Managers,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,3.0,3.0,3.14,97.89,175710.0,210340.0,"['Making Decisions and Solving Problems', 'Documenting/Recording Information', 'Monitoring and Controlling Resources']","['4.A.2.b.1', '4.A.3.b.6', '4.A.4.c.3']","Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15861,13-1081.01,Logistics Engineers,Propose logistics solutions for customers.,Core,3.0,3.0,4.47,95.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
19996,13-1081.01,Logistics Engineers,"Develop logistic metrics, internal analysis tools, or key performance indicators for business units.",Core,3.0,3.0,4.39,90.0,,,['Developing Objectives and Strategies'],['4.A.2.b.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15875,13-1081.01,Logistics Engineers,"Conduct logistics studies or analyses, such as time studies, zero-base analyses, rate analyses, network analyses, flow-path analyses, or supply chain analyses.",Core,3.0,3.0,4.24,90.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
19997,13-1081.01,Logistics Engineers,Identify cost-reduction or process-improvement logistic opportunities.,Core,4.0,4.0,4.16,95.0,,,"['Identifying Objects, Actions, and Events']",['4.A.1.b.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15867,13-1081.01,Logistics Engineers,"Review contractual commitments, customer specifications, or related information to determine logistics or support requirements.",Core,4.0,4.0,4.1,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15877,13-1081.01,Logistics Engineers,"Provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",Core,3.0,3.0,3.94,84.21,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15872,13-1081.01,Logistics Engineers,"Develop or maintain cost estimates, forecasts, or cost models.",Core,3.0,3.0,3.89,90.0,,,['Making Decisions and Solving Problems'],['4.A.2.b.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15876,13-1081.01,Logistics Engineers,"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",Core,5.0,5.0,3.84,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15874,13-1081.01,Logistics Engineers,"Determine logistics support requirements, such as facility details, staffing needs, or safety or maintenance plans.",Core,3.0,3.0,3.82,85.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15870,13-1081.01,Logistics Engineers,Identify or develop business rules or standard operating procedures to streamline operating processes.,Core,3.0,3.0,3.58,100.0,,,"['Identifying Objects, Actions, and Events', 'Developing Objectives and Strategies']","['4.A.1.b.1', '4.A.2.b.4']","Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
15868,13-1081.01,Logistics Engineers,Prepare or validate documentation on automated logistics or maintenance-data reporting or management information systems.,Core,3.0,3.0,3.44,90.0,,,['Documenting/Recording Information'],['4.A.3.b.6'],"Công nghệ thông tin, AI và phân tích dữ liệu",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20950,15-1211.00,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,Core,3.0,3.0,4.24,98.82,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",11,2.5454545454545454,2.5454545454545454,3.1818181818181817,2.727272727272727,3.0,1.7272727272727273,2.8181818181818183,2.8181818181818183,3.6363636363636362,3.090909090909091,27.27272727272727,27.27272727272727,9.090909090909092,36.36363636363637,27.27272727272727,27.27272727272727,0.0,9.090909090909092,27.27272727272727,9.090909090909092,18.181818181818183,27.27272727272727,0.0,3,3.6666666666666665,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335
3465,15-1211.00,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Core,5.0,5.0,4.0,90.01,111960.0,497800.0,"['Monitoring Processes, Materials, or Surroundings', 'Inspecting Equipment, Structures, or Materials', 'Guiding, Directing, and Motivating Subordinates']","['4.A.1.a.2', '4.A.1.b.2', '4.A.4.b.4']","Công nghệ thông tin, AI và phân tích dữ liệu",10,2.3,2.3,2.5,2.5,2.8,2.2,2.7,2.4,3.4,3.2,30.0,30.0,10.0,20.0,10.0,10.0,0.0,10.0,0.0,10.0,20.0,10.0,10.0,2,3.0,1.5,2.5,3.5,3.0,3.0
3482,15-1211.00,Computer Systems Analysts,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",Core,5.0,5.0,3.97,90.87,111960.0,497800.0,['Thinking Creatively'],['4.A.2.b.2'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,2.4,3.0,3.2,2.7,4.0,2.8,3.8,3.3,3.8,3.1,30.0,10.0,20.0,20.0,10.0,10.0,0.0,50.0,40.0,40.0,50.0,40.0,30.0,3,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.6666666666666665,3.0,3.0
3466,15-1211.00,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",Core,6.0,6.0,3.71,88.2,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,2.8,2.0,2.5,2.7,3.4,2.2,2.8,2.8,3.5,3.1,30.0,20.0,40.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,30.0,20.0,10.0,3,4.0,1.0,2.0,3.6666666666666665,1.6666666666666667,2.0
3474,15-1211.00,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",Core,5.0,5.0,3.6,78.19,111960.0,497800.0,"['Analyzing Data or Information', 'Thinking Creatively']","['4.A.2.a.4', '4.A.2.b.2']","Công nghệ thông tin, AI và phân tích dữ liệu",10,2.7,2.4,2.9,2.6,2.9,1.8,2.6,2.6,3.1,2.7,30.0,20.0,40.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,0.0,2,3.0,1.5,3.0,3.0,2.5,3.5
3484,15-1211.00,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,Core,4.0,4.0,3.48,71.13,111960.0,497800.0,"['Making Decisions and Solving Problems', 'Thinking Creatively']","['4.A.2.b.1', '4.A.2.b.2']","Công nghệ thông tin, AI và phân tích dữ liệu",9,2.2222222222222223,2.7777777777777777,3.2222222222222223,2.4444444444444446,3.6666666666666665,2.111111111111111,2.4444444444444446,2.7777777777777777,3.0,2.6666666666666665,22.22222222222222,0.0,11.11111111111111,22.22222222222222,0.0,11.11111111111111,0.0,44.44444444444444,33.33333333333333,33.33333333333333,33.33333333333333,22.22222222222222,0.0,3,3.3333333333333335,1.0,2.0,3.0,2.3333333333333335,2.6666666666666665
3470,15-1211.00,Computer Systems Analysts,Expand or modify system to serve new purposes or improve work flow.,Core,3.0,3.0,3.47,85.73,111960.0,497800.0,['Thinking Creatively'],['4.A.2.b.2'],"Công nghệ thông tin, AI và phân tích dữ liệu",11,2.5454545454545454,2.1818181818181817,3.0,2.5454545454545454,2.8181818181818183,1.9090909090909092,2.6363636363636362,3.0,3.727272727272727,3.0,45.45454545454545,18.181818181818183,36.36363636363637,45.45454545454545,27.27272727272727,27.27272727272727,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,0.0,2,2.0,2.5,2.0,3.0,1.5,3.5
3480,15-1211.00,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,3.0,3.0,3.21,76.98,111960.0,497800.0,['Getting Information'],['4.A.1.a.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,2.7,1.9,2.8,2.2,2.8,1.9,2.4,2.1,2.6,2.7,30.0,20.0,50.0,30.0,40.0,40.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0,2,4.5,1.0,1.0,2.5,1.0,1.5
3478,15-1211.00,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Supplemental,3.0,3.0,3.6,65.95,111960.0,497800.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",9,3.2222222222222223,2.4444444444444446,3.0,3.5555555555555554,3.111111111111111,2.111111111111111,2.3333333333333335,2.7777777777777777,3.5555555555555554,3.0,33.33333333333333,55.55555555555556,44.44444444444444,22.22222222222222,22.22222222222222,11.11111111111111,22.22222222222222,33.33333333333333,55.55555555555556,0.0,33.33333333333333,33.33333333333333,11.11111111111111,2,4.5,1.5,2.0,2.5,2.0,2.0
5314,15-1212.00,Information Security Analysts,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Core,4.0,4.0,4.4,97.12,127730.0,179430.0,['Developing Objectives and Strategies'],['4.A.2.b.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",9,2.6666666666666665,2.4444444444444446,2.888888888888889,1.8888888888888888,3.888888888888889,2.5555555555555554,3.0,3.4444444444444446,3.888888888888889,3.2222222222222223,55.55555555555556,33.33333333333333,33.33333333333333,11.11111111111111,22.22222222222222,55.55555555555556,33.33333333333333,22.22222222222222,11.11111111111111,11.11111111111111,33.33333333333333,0.0,22.22222222222222,3,2.3333333333333335,1.0,3.6666666666666665,4.0,2.3333333333333335,4.0
5316,15-1212.00,Information Security Analysts,Monitor current reports of computer viruses to determine when to update virus protection systems.,Core,5.0,5.0,4.23,82.36,127730.0,179430.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"Công nghệ thông tin, AI và phân tích dữ liệu",8,3.375,2.125,3.5,1.5,3.875,1.375,2.25,2.625,3.5,2.5,75.0,12.5,37.5,12.5,12.5,37.5,0.0,12.5,0.0,0.0,12.5,0.0,0.0,2,3.0,1.5,3.0,4.0,2.0,2.5
5317,15-1212.00,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",Core,3.0,3.0,4.1,88.02,127730.0,179430.0,['Working with Computers'],['4.A.3.b.1'],"Công nghệ thông tin, AI và phân tích dữ liệu",8,2.625,2.5,3.625,1.5,3.875,2.625,2.75,3.875,3.625,3.375,50.0,0.0,37.5,12.5,0.0,37.5,25.0,25.0,12.5,25.0,37.5,25.0,37.5,2,3.5,2.0,3.5,4.0,2.0,3.0
5322,15-1212.00,Information Security Analysts,"Document computer security and emergency measures policies, procedures, and tests.",Core,3.0,3.0,3.94,99.23,127730.0,179430.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.4,2.4,3.3,2.2,2.6,2.3,2.3,2.9,3.3,2.4,60.0,50.0,50.0,10.0,10.0,50.0,20.0,30.0,40.0,20.0,20.0,20.0,20.0,2,3.5,1.0,2.5,3.0,2.5,2.5
5319,15-1212.00,Information Security Analysts,Monitor use of data files and regulate access to safeguard information in computer files.,Core,5.0,5.0,3.89,88.34,127730.0,179430.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],"Công nghệ thông tin, AI và phân tích dữ liệu",10,3.7,2.7,2.8,1.9,3.2,1.9,1.9,3.0,3.6,2.7,60.0,50.0,60.0,0.0,0.0,50.0,10.0,20.0,0.0,10.0,40.0,20.0,30.0,2,3.0,1.0,3.5,4.0,2.5,4.0
14623,15-1221.00,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,Core,5.0,5.0,4.24,96.77,152310.0,38480.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Công nghệ thông tin, AI và phân tích dữ liệu",9,3.7777777777777777,3.4444444444444446,3.7777777777777777,2.3333333333333335,3.7777777777777777,2.3333333333333335,2.4444444444444446,3.111111111111111,3.7777777777777777,3.5555555555555554,66.66666666666666,44.44444444444444,33.33333333333333,33.33333333333333,0.0,77.77777777777779,33.33333333333333,66.66666666666666,55.55555555555556,33.33333333333333,55.55555555555556,22.22222222222222,0.0,3,2.3333333333333335,1.6666666666666667,2.3333333333333335,3.0,1.6666666666666667,3.3333333333333335
