Task ID,O*NET-SOC Code,Occupation,Task,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill,Skill ID,Industry Group,Worker Rating Count,Worker Automation Desire,Worker Time Rating,Worker Core Skill,Worker Job Security,Worker Enjoyment,Worker Physical Req,Worker Interpersonal Req,Worker Uncertainty Req,Worker Domain Req,Worker Agency Req,Worker Auto Reason Free Time,Worker Auto Reason Repetitive,Worker Auto Reason Human Error,Worker Auto Reason Stress,Worker Auto Reason Difficulty,Worker Auto Reason Scale,Worker Agency Reason Physical,Worker Agency Reason Control,Worker Agency Reason Domain,Worker Agency Reason Empathy,Worker Agency Reason Quality,Worker Agency Reason Dynamic,Worker Agency Reason Ethical,Expert Rating Count,Expert Automation Capacity,Expert Physical Req,Expert Uncertainty Req,Expert Domain Req,Expert Interpersonal Req,Expert Agency Req
18037,11-9199.01,Regulatory Affairs Managers,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",Core,3.0,3.0,4.61,100.0,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],"Pháp lý, hành chính và tuân thủ",7,3.142857142857143,1.8571428571428572,3.857142857142857,1.5714285714285714,3.142857142857143,1.7142857142857142,2.0,2.7142857142857144,2.7142857142857144,3.0,42.857142857142854,57.14285714285714,42.857142857142854,14.285714285714285,0.0,42.857142857142854,0.0,42.857142857142854,14.285714285714285,28.57142857142857,57.14285714285714,14.285714285714285,42.857142857142854,3,2.6666666666666665,1.0,3.0,4.333333333333333,2.0,3.3333333333333335
18022,11-9199.01,Regulatory Affairs Managers,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",Core,3.0,3.0,4.48,100.0,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Pháp lý, hành chính và tuân thủ",7,3.0,2.5714285714285716,3.7142857142857144,2.142857142857143,3.142857142857143,1.7142857142857142,2.7142857142857144,3.0,2.857142857142857,2.4285714285714284,28.57142857142857,14.285714285714285,42.857142857142854,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,14.285714285714285,3,2.6666666666666665,2.3333333333333335,3.0,3.3333333333333335,2.6666666666666665,3.3333333333333335
18030,11-9199.01,Regulatory Affairs Managers,"Maintain current knowledge of relevant regulations, including proposed and final rules.",Core,4.0,4.0,4.09,100.0,,,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"Pháp lý, hành chính và tuân thủ",7,3.7142857142857144,1.7142857142857142,3.5714285714285716,2.2857142857142856,2.2857142857142856,1.7142857142857142,1.8571428571428572,2.142857142857143,1.8571428571428572,2.7142857142857144,57.14285714285714,57.14285714285714,42.857142857142854,42.857142857142854,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,28.57142857142857,0.0,14.285714285714285,0.0,14.285714285714285,2,1.5,2.5,3.0,4.5,1.5,4.5
18038,11-9199.01,Regulatory Affairs Managers,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,Core,3.0,3.0,3.95,100.0,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],"Pháp lý, hành chính và tuân thủ",3,3.3333333333333335,1.3333333333333333,4.666666666666667,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,33.33333333333333,33.33333333333333,3,3.3333333333333335,1.3333333333333333,2.0,3.6666666666666665,2.3333333333333335,2.6666666666666665
18032,11-9199.01,Regulatory Affairs Managers,Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,Core,3.0,3.0,3.41,95.65,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],"Pháp lý, hành chính và tuân thủ",4,4.0,1.5,3.25,2.5,2.25,1.5,1.75,3.0,2.25,2.5,50.0,25.0,75.0,50.0,25.0,50.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,3,2.6666666666666665,2.0,3.3333333333333335,4.333333333333333,3.0,3.6666666666666665
15643,11-9199.02,Compliance Managers,Review communications such as securities sales advertising to ensure there are no violations of standards or regulations.,Supplemental,3.0,3.0,3.56,36.76,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],"Pháp lý, hành chính và tuân thủ",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21093,11-9199.02,Compliance Managers,"Oversee internal reporting systems, such as corporate compliance hotlines.",Supplemental,3.0,3.0,3.56,55.96,,,"['Monitoring Processes, Materials, or Surroundings', 'Guiding, Directing, and Motivating Subordinates']","['4.A.1.a.2', '4.A.4.b.4']","Pháp lý, hành chính và tuân thủ",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21417,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Examine claims forms and other records to determine insurance coverage.,Core,6.0,6.0,4.79,100.0,78770.0,305020.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Pháp lý, hành chính và tuân thủ",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21418,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Analyze information gathered by investigation and report findings and recommendations.,Core,5.0,5.0,4.76,98.45,78770.0,305020.0,"['Getting Information', 'Documenting/Recording Information']","['4.A.1.a.1', '4.A.3.b.6']","Pháp lý, hành chính và tuân thủ",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21426,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Pay and process claims within designated authority level.,Core,5.0,5.0,4.75,89.46,78770.0,305020.0,['Performing Administrative Activities'],['4.A.4.c.1'],"Pháp lý, hành chính và tuân thủ",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
