Task ID,O*NET-SOC Code,Occupation,Task,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill,Skill ID,Industry Group,Worker Rating Count,Worker Automation Desire,Worker Time Rating,Worker Core Skill,Worker Job Security,Worker Enjoyment,Worker Physical Req,Worker Interpersonal Req,Worker Uncertainty Req,Worker Domain Req,Worker Agency Req,Worker Auto Reason Free Time,Worker Auto Reason Repetitive,Worker Auto Reason Human Error,Worker Auto Reason Stress,Worker Auto Reason Difficulty,Worker Auto Reason Scale,Worker Agency Reason Physical,Worker Agency Reason Control,Worker Agency Reason Domain,Worker Agency Reason Empathy,Worker Agency Reason Quality,Worker Agency Reason Dynamic,Worker Agency Reason Ethical,Expert Rating Count,Expert Automation Capacity,Expert Physical Req,Expert Uncertainty Req,Expert Domain Req,Expert Interpersonal Req,Expert Agency Req
49,11-9111.00,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,5.0,5.0,4.31,92.86,137730.0,565840.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']","Y tế, dược và khoa học sự sống",10,3.4,2.4,3.7,1.7,3.2,2.4,3.0,2.1,2.8,2.8,70.0,50.0,50.0,20.0,0.0,40.0,10.0,40.0,40.0,50.0,50.0,30.0,50.0,2,5.0,1.0,2.0,3.0,1.0,1.5
51,11-9111.00,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,3.0,3.0,4.16,89.29,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Y tế, dược và khoa học sự sống",10,3.3,2.0,2.4,1.9,2.5,1.5,2.2,2.3,2.4,2.8,40.0,40.0,50.0,30.0,30.0,50.0,10.0,30.0,40.0,20.0,20.0,30.0,30.0,3,3.6666666666666665,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.6666666666666665
55,11-9111.00,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"Y tế, dược và khoa học sự sống",10,2.3,2.3,2.9,1.7,3.2,2.5,2.8,2.5,3.5,2.9,40.0,10.0,10.0,0.0,10.0,30.0,20.0,10.0,40.0,40.0,30.0,30.0,50.0,2,4.0,1.5,3.0,4.5,1.5,2.0
52,11-9111.00,Medical and Health Services Managers,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,5.0,5.0,4.11,100.0,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Y tế, dược và khoa học sự sống",10,3.6,2.8,2.6,2.1,1.8,1.8,2.8,2.1,2.5,2.6,50.0,70.0,40.0,20.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,30.0,2,3.5,2.0,2.0,3.0,3.0,2.5
61,11-9111.00,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,3.0,3.0,3.83,82.14,137730.0,565840.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']","Y tế, dược và khoa học sự sống",10,2.9,2.2,2.8,1.7,3.0,2.2,2.6,3.1,2.7,2.9,40.0,10.0,40.0,0.0,0.0,50.0,30.0,50.0,40.0,40.0,50.0,40.0,40.0,3,2.3333333333333335,1.0,3.6666666666666665,4.333333333333333,2.3333333333333335,3.3333333333333335
57,11-9111.00,Medical and Health Services Managers,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,3.0,3.0,3.78,96.43,137730.0,565840.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Y tế, dược và khoa học sự sống",10,2.8,2.5,3.0,2.0,2.6,2.5,2.3,2.2,2.9,2.9,40.0,30.0,40.0,20.0,20.0,20.0,30.0,30.0,40.0,30.0,30.0,30.0,30.0,3,3.0,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.3333333333333335,3.0
15612,11-9121.01,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,4.0,4.0,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5'],"Y tế, dược và khoa học sự sống",10,3.1,1.8,1.9,2.2,2.6,2.1,3.6,2.1,2.5,2.6,70.0,40.0,30.0,10.0,0.0,30.0,20.0,30.0,30.0,40.0,20.0,20.0,10.0,2,1.5,3.0,3.0,3.0,2.5,2.0
15595,11-9121.01,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,3.0,3.0,4.41,82.57,,,['Documenting/Recording Information'],['4.A.3.b.6'],"Y tế, dược và khoa học sự sống",10,2.7,2.2,3.2,2.2,3.1,2.2,2.6,3.2,3.8,3.6,40.0,50.0,30.0,20.0,10.0,20.0,10.0,60.0,50.0,50.0,50.0,30.0,40.0,2,3.0,3.0,2.5,3.5,3.0,3.0
15594,11-9121.01,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,4.0,4.0,4.35,89.64,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']","Y tế, dược và khoa học sự sống",10,2.4,2.0,3.3,2.2,2.4,2.5,2.8,3.4,3.5,3.6,40.0,20.0,20.0,40.0,30.0,10.0,0.0,50.0,40.0,40.0,20.0,20.0,30.0,3,2.6666666666666665,2.6666666666666665,3.3333333333333335,4.333333333333333,2.6666666666666665,4.0
15614,11-9121.01,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,5.0,5.0,4.27,86.6,,,['Documenting/Recording Information'],['4.A.3.b.6'],"Y tế, dược và khoa học sự sống",10,3.3,3.1,3.3,2.6,2.6,2.4,2.8,2.7,3.3,3.5,60.0,50.0,30.0,0.0,30.0,40.0,0.0,40.0,30.0,20.0,50.0,30.0,20.0,2,4.5,1.5,2.0,3.0,2.0,2.0
