Task ID,O*NET-SOC Code,Occupation,Task,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill,Skill ID,Industry Group,Worker Rating Count,Worker Automation Desire,Worker Time Rating,Worker Core Skill,Worker Job Security,Worker Enjoyment,Worker Physical Req,Worker Interpersonal Req,Worker Uncertainty Req,Worker Domain Req,Worker Agency Req,Worker Auto Reason Free Time,Worker Auto Reason Repetitive,Worker Auto Reason Human Error,Worker Auto Reason Stress,Worker Auto Reason Difficulty,Worker Auto Reason Scale,Worker Agency Reason Physical,Worker Agency Reason Control,Worker Agency Reason Domain,Worker Agency Reason Empathy,Worker Agency Reason Quality,Worker Agency Reason Dynamic,Worker Agency Reason Ethical,Expert Rating Count,Expert Automation Capacity,Expert Physical Req,Expert Uncertainty Req,Expert Domain Req,Expert Interpersonal Req,Expert Agency Req
3226,11-2011.00,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,3.0,3.0,4.07,87.26,149270.0,21100.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],"Marketing, truyền thông và công nghiệp nội dung",10,3.7,2.7,2.7,2.8,3.1,2.7,3.5,3.3,3.2,3.1,70.0,20.0,50.0,20.0,0.0,50.0,10.0,40.0,40.0,60.0,30.0,20.0,20.0,4,4.0,1.25,2.25,2.75,1.75,2.0
3242,11-2011.00,Advertising and Promotions Managers,Coordinate with the media to disseminate advertising.,Core,3.0,3.0,3.87,80.19,149270.0,21100.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],"Marketing, truyền thông và công nghiệp nội dung",5,3.0,2.4,3.2,2.8,3.4,2.6,3.4,3.6,3.6,2.8,40.0,20.0,20.0,0.0,20.0,40.0,0.0,0.0,20.0,40.0,40.0,20.0,20.0,3,3.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.0
3223,11-2011.00,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,3.0,3.0,3.67,81.73,149270.0,21100.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],"Marketing, truyền thông và công nghiệp nội dung",10,2.9,2.8,2.8,2.5,2.7,2.3,2.4,3.2,2.6,2.9,30.0,10.0,30.0,0.0,0.0,40.0,20.0,40.0,10.0,30.0,10.0,10.0,10.0,3,4.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.0
3243,11-2011.00,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,Core,5.0,5.0,3.61,79.02,149270.0,21100.0,['Selling or Influencing Others'],['4.A.4.a.6'],"Marketing, truyền thông và công nghiệp nội dung",6,3.1666666666666665,3.0,2.8333333333333335,2.5,2.8333333333333335,2.5,3.8333333333333335,3.1666666666666665,3.5,2.3333333333333335,16.666666666666664,50.0,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,33.33333333333333,16.666666666666664,0.0,16.666666666666664,2,2.0,1.0,1.0,3.5,4.5,4.0
3233,11-2011.00,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,3.0,3.0,3.59,77.04,149270.0,21100.0,['Analyzing Data or Information'],['4.A.2.a.4'],"Marketing, truyền thông và công nghiệp nội dung",6,3.6666666666666665,2.1666666666666665,2.6666666666666665,3.0,2.3333333333333335,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,0.0,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,0.0,2,4.5,1.0,1.5,3.0,1.0,1.5
3234,11-2011.00,Advertising and Promotions Managers,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,3.0,3.0,3.25,86.55,149270.0,21100.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"Marketing, truyền thông và công nghiệp nội dung",6,3.5,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.5,2.1666666666666665,1.6666666666666667,1.6666666666666667,2.5,2.0,50.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,0.0,0.0,2,2.5,2.0,1.5,4.0,2.0,3.5
951,11-2021.00,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,5.0,5.0,4.3,98.32,171520.0,384980.0,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']","Marketing, truyền thông và công nghiệp nội dung",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
957,11-2021.00,Marketing Managers,Compile lists describing product or service offerings.,Core,3.0,3.0,3.7,84.1,171520.0,384980.0,['Processing Information'],['4.A.2.a.2'],"Marketing, truyền thông và công nghiệp nội dung",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
21,11-3012.00,Administrative Services Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,5.0,5.0,3.71,77.98,126030.0,254140.0,['Documenting/Recording Information'],['4.A.3.b.6'],"Kinh doanh, tài chính và quản trị tổ chức",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
20,11-3012.00,Administrative Services Managers,Set goals and deadlines for the department.,Core,5.0,5.0,3.7,92.79,126030.0,254140.0,['Thinking Creatively'],['4.A.2.b.2'],"Kinh doanh, tài chính và quản trị tổ chức",0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,
